interview_date,quest_no,start,end,province,district,ward,village,years_farm,agr_assoc,no_membrs,_members_count,remittance_money,years_liv,parents_liv,sp_parents_liv,grand_liv,sp_grand_liv,respondent_roof_type,respondent_wall_type,respondent_wall_type_other,respondent_floor_type,window_type,buildings_in_compound,rooms,other_buildings,no_plots,plots_count,water_use,no_group_count,yes_group_count,no_enough_water,months_no_water,period_use,exper_other,other_meth,res_change,memb_assoc,resp_assoc,fees_water,affect_conflicts,need_money,money_source,money_source_other,crops_contr,emply_lab,du_labour,liv_owned,liv_owned_other,liv_count,poultry,du_look_aftr_cows,items_owned,items_owned_other,no_meals,months_lack_food,no_food_mitigation,gps_Latitude,gps_Longitude,gps_Altitude,gps_Accuracy,instanceID
21-Nov-16,11,2017-04-03T03:16:15.000Z,2017-04-03T03:31:10.000Z,Manica,Manica,Bandula,God,6,no,6,6,no,20,yes,yes,no,yes,grass,sunbricks,NULL,earth,no,2,1,no,2,2,no,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,yes,['oxen' ;  'cows'],NULL,2,no,no,['radio' ;  'cow_plough'],NULL,2,['Oct' ;  'Nov'],['rely_less_food' ;  'lab_ex_food'],-19.11219126,33.48345933,707,10,uuid:d29b44e3-3348-4afc-aa4d-9eb34c89d483
21-Nov-16,12,2017-04-03T03:31:13.000Z,2017-04-03T03:58:34.000Z,Manica,Manica,Bandula,God,20,no,7,7,yes,20,no,no,no,no,mabatisloping,burntbricks,NULL,cement,no,2,3,no,2,2,yes,NULL,2,yes,['Aug' ;  'Sept' ;  'Oct' ;  'Nov'],20,yes,no,NULL,yes,no,no,never,no,NULL,NULL,more_half,no,no,['oxen' ;  'cows'],NULL,2,yes,no,['cow_cart' ;  'bicycle' ;  'radio' ;  'cow_plough' ;  'table'],NULL,3,['Sept' ;  'Oct'],['rely_less_food' ;  'limit_variety' ;  'reduce_meals' ;  'lab_ex_food'],-19.11229465,33.48341504,696,13,uuid:e6ee6269-b467-4e37-91fc-5e9eaf934557
21-Nov-16,13,2017-04-03T03:58:43.000Z,2017-04-03T04:19:36.000Z,Manica,Manica,Bandula,God,7,yes,6,6,no,8,yes,no,yes,no,grass,burntbricks,NULL,earth,no,1,1,no,4,4,yes,NULL,4,yes,['Oct'],7,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,more_half,yes,no,['cows' ;  'goats' ;  'poultry'],NULL,3,yes,no,['bicycle' ;  'radio' ;  'cow_plough' ;  'mobile_phone'],NULL,2,['Sept' ;  'Oct' ;  'Nov'],['lab_ex_food'],-19.11236935,33.48355635,706,15,uuid:6c00c145-ee3b-409c-8c02-2c8d743b6918
21-Nov-16,14,2017-04-03T04:19:57.000Z,2017-04-03T04:50:05.000Z,Manica,Manica,Bandula,God,20,yes,10,10,no,20,yes,yes,no,yes,grass,burntbricks,NULL,earth,no,3,3,no,3,3,no,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,yes,yes,['oxen' ;  'cows' ;  'goats'],NULL,3,yes,no,['bicycle' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'table' ;  'mobile_phone'],NULL,3,['June' ;  'July' ;  'Aug' ;  'Sept' ;  'Oct' ;  'Nov'],['reduce_meals' ;  'lab_ex_food'],-19.11222089,33.4834388,698,11,uuid:9b21467f-1116-4340-a3b1-1ab64f13c87d
21-Nov-16,15,2017-04-03T05:12:17.000Z,2017-04-03T05:28:44.000Z,Manica,Manica,Bandula,God,30,yes,5,5,no,30,yes,yes,yes,yes,grass,sunbricks,NULL,earth,no,1,2,yes,3,3,yes,NULL,3,yes,['Sept' ;  'Oct' ;  'Nov'],30,yes,no,NULL,yes,no,no,once,no,NULL,NULL,abt_half,no,no,['oxen' ;  'cows' ;  'goats'],NULL,3,yes,no,['bicycle' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'table'],NULL,2,['Jan' ;  'Feb' ;  'Mar' ;  'Apr' ;  'May' ;  'June' ;  'July' ;  'Aug' ;  'Sept' ;  'Oct' ;  'Nov'],['na' ;  'rely_less_food' ;  'limit_portion' ;  'reduce_meals' ;  'lab_ex_food'],-19.1120793,33.48339657,715,9,uuid:a837e545-ff86-4a1c-a1a5-6186804b985f
24-Nov-16,16,2017-04-03T05:29:24.000Z,2017-04-03T05:40:53.000Z,Manica,Manica,Bandula,God,24,yes,6,6,no,47,yes,yes,yes,yes,grass,muddaub,NULL,earth,yes,2,1,yes,1,1,no,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,yes,yes,['oxen' ;  'cows' ;  'goats' ;  'poultry'],NULL,4,no,no,['radio' ;  'cow_plough' ;  'solar_panel' ;  'solar_torch'],NULL,3,['Jan' ;  'Feb'],['lab_ex_food'],-19.11210678,33.48344397,709,9,uuid:d17db52f-4b87-4768-b534-ea8f9704c565
21-Nov-16,17,2017-04-03T05:41:42.000Z,2017-04-03T05:57:57.000Z,Manica,Manica,Bandula,God,10,yes,8,8,no,20,no,no,no,no,grass,sunbricks,NULL,earth,no,2,1,no,3,3,no,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,yes,['goats'],NULL,1,no,yes,['mobile_phone'],NULL,2,['Nov' ;  'Dec'],['lab_ex_food'],-19.11218314,33.48346325,710,10,uuid:4707f3dc-df18-4348-9c2c-eec651e89b6b
21-Nov-16,18,2017-04-03T12:27:04.000Z,2017-04-03T12:39:48.000Z,Manica,Manica,Bandula,God,6,no,4,4,no,20,yes,yes,no,yes,grass,muddaub,NULL,earth,no,1,1,no,2,2,no,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,yes,['goats' ;  'pigs' ;  'poultry'],NULL,3,yes,no,['bicycle' ;  'mobile_phone'],NULL,2,['Oct' ;  'Nov'],['reduce_meals' ;  'lab_ex_food'],-19.11133515,33.47630848,685,17,uuid:7ffe7bd1-a15c-420c-a137-e1f006c317a3
21-Nov-16,19,2017-04-03T12:40:14.000Z,2017-04-03T12:53:29.000Z,Manica,Manica,Bandula,God,20,yes,9,9,no,23,yes,yes,yes,yes,mabatisloping,burntbricks,NULL,earth,no,1,2,yes,2,2,no,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,yes,yes,['oxen' ;  'goats'],NULL,2,yes,no,['bicycle' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'solar_torch' ;  'mobile_phone'],NULL,3,['Oct' ;  'Nov' ;  'Dec'],['rely_less_food' ;  'limit_portion' ;  'lab_ex_food' ;  'seek_government'],-19.11142642,33.47640837,716,30,uuid:e32f2dc0-0d05-42fb-8e21-605757ddf07d
21-Nov-16,20,2017-04-03T14:04:50.000Z,2017-04-03T14:20:04.000Z,Manica,Manica,Bandula,God,24,yes,6,6,no,1,yes,yes,yes,yes,grass,burntbricks,NULL,earth,yes,1,1,no,2,2,no,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,yes,['cows'],NULL,1,yes,yes,['bicycle' ;  'cow_plough' ;  'solar_torch'],NULL,2,['Oct' ;  'Nov'],['rely_less_food' ;  'lab_ex_food'],-19.11147317,33.47619213,700,27,uuid:d1005274-bf52-4e79-8380-3350dd7c2bac
21-Nov-16,21,2017-04-03T14:24:58.000Z,2017-04-03T14:44:39.000Z,Manica,Manica,Bandula,God,20,yes,8,8,no,20,no,yes,no,yes,mabatisloping,burntbricks,NULL,cement,no,1,1,no,4,4,yes,NULL,4,yes,['Oct'],20,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,less_half,no,yes,['oxen' ;  'cows' ;  'goats'],NULL,3,yes,no,NULL,NULL,2,['Jan' ;  'Feb' ;  'Mar' ;  'Oct' ;  'Nov' ;  'Dec'],['rely_less_food' ;  'restrict_adults' ;  'day_night_hungry' ;  'lab_ex_food'],-19.11155014,33.47623134,707,20,uuid:6570a7d0-6a0b-452c-aa2e-922500e35749
21-Nov-16,22,2017-04-03T16:28:52.000Z,2017-04-03T16:40:47.000Z,Manica,Manica,Bandula,God,14,no,4,4,no,20,yes,yes,yes,yes,grass,muddaub,NULL,earth,no,1,1,no,1,1,no,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,yes,['goats'],NULL,1,yes,no,['radio'],NULL,2,['Jan' ;  'Feb' ;  'Mar' ;  'Apr' ;  'Aug' ;  'Sept' ;  'Oct' ;  'Nov' ;  'Dec'],['rely_less_food' ;  'reduce_meals' ;  'go_forest' ;  'lab_ex_food'],-19.11212691,33.48350764,722,9,uuid:a51c3006-8847-46ff-9d4e-d29919b8ecf9
21-Nov-16,23,2017-04-03T16:41:04.000Z,2017-04-03T17:04:28.000Z,Manica,Manica,Bandula,Ruaca,12,yes,10,10,no,20,no,no,no,no,mabatisloping,burntbricks,NULL,cement,yes,1,4,yes,2,2,no,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,yes,no,['oxen' ;  'cows' ;  'goats'],NULL,3,yes,no,['cow_cart' ;  'bicycle' ;  'television' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'electricity' ;  'mobile_phone'],NULL,3,['none'],['na'],-19.11219352,33.4833833,699,10,uuid:58b37b6d-d6cd-4414-8790-b9c68bca98de
21-Nov-16,24,2017-04-03T17:19:49.000Z,2017-04-03T17:43:01.000Z,Manica,Manica,Bandula,Ruaca,8,no,6,6,no,4,no,no,no,no,mabatisloping,burntbricks,NULL,cement,yes,2,2,yes,3,3,yes,NULL,3,yes,['Sept' ;  'Oct'],8,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,less_half,yes,no,['oxen' ;  'cows' ;  'goats'],NULL,3,no,no,['radio' ;  'table' ;  'sofa_set' ;  'mobile_phone'],NULL,2,['Nov' ;  'Dec'],['lab_ex_food'],-19.11218803,33.48343475,745,11,uuid:661457d3-7e61-45e8-a238-7415e7548f82
21-Nov-16,25,2017-04-04T04:01:58.000Z,2017-04-04T04:29:47.000Z,Manica,Manica,Bandula,Ruaca,10,yes,11,11,no,6,no,no,no,no,mabatisloping,burntbricks,NULL,cement,no,2,3,yes,3,3,yes,NULL,3,yes,['Aug' ;  'Sept'],10,yes,no,NULL,no,NULL,no,never,yes,['business' ;  'non_farm_prod'],NULL,more_half,yes,no,['oxen' ;  'cows'],NULL,2,yes,no,['cow_cart' ;  'motorcyle' ;  'television' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'solar_torch' ;  'table' ;  'sofa_set' ;  'mobile_phone'],NULL,2,['Jan' ;  'Feb' ;  'Oct'],['na'],-19.11223416,33.4834841,698,11,uuid:45ed84c4-114e-4df0-9f5d-c800806c2bee
21-Nov-16,26,2017-04-04T04:30:19.000Z,2017-04-04T04:44:19.000Z,Manica,Manica,Bandula,Ruaca,2,yes,3,3,no,20,yes,yes,yes,yes,mabatisloping,burntbricks,NULL,earth,no,2,2,no,2,2,yes,NULL,2,yes,['Oct' ;  'Nov'],2,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,abt_half,yes,yes,['oxen' ;  'cows'],NULL,2,yes,no,['radio' ;  'cow_plough' ;  'table' ;  'mobile_phone'],NULL,2,['none'],['na'],-19.11230411,33.48354341,706,12,uuid:1c54ee24-22c4-4ee9-b1ad-42d483c08e2e
21-Nov-16,27,2017-04-05T04:59:42.000Z,2017-04-05T05:14:45.000Z,Manica,Manica,Bandula,Ruaca,36,no,7,7,no,36,no,no,no,no,grass,burntbricks,NULL,earth,no,3,2,yes,2,2,no,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,no,['oxen' ;  'cows' ;  'poultry'],NULL,3,yes,no,['bicycle' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'solar_torch' ;  'mobile_phone'],NULL,3,['none'],['na'],-19.0430007,33.40508367,679,14,uuid:3197cded-1fdc-4c0c-9b10-cfcc0bf49c4d
21-Nov-16,28,2017-04-05T05:14:49.000Z,2017-04-05T05:36:18.000Z,Manica,Manica,Bandula,Ruaca,2,no,2,2,no,2,no,no,no,no,grass,muddaub,NULL,earth,no,1,1,yes,3,3,yes,NULL,3,yes,['Aug' ;  'Sept' ;  'Oct' ;  'Nov'],2,yes,no,NULL,no,NULL,no,more_once,no,NULL,NULL,more_half,no,yes,['none'],NULL,1,yes,no,NULL,NULL,3,['Aug' ;  'Sept' ;  'Oct'],['rely_less_food' ;  'reduce_meals' ;  'borrow_food' ;  'go_forest' ;  'lab_ex_food'],-19.04290893,33.40506932,721,7,uuid:1de53318-a8cf-4736-99b1-8239f8822473
21-Nov-16,29,2017-04-05T05:37:30.000Z,2017-04-05T06:05:44.000Z,Manica,Manica,Bandula,Ruaca,10,yes,7,7,no,10,yes,no,yes,no,mabatisloping,burntbricks,NULL,earth,no,1,2,yes,3,3,yes,NULL,3,yes,['Sept' ;  'Oct' ;  'Nov'],4,yes,yes,['less_work'],yes,yes,no,frequently,no,NULL,NULL,more_half,no,no,['goats'],NULL,1,yes,no,['motorcyle' ;  'bicycle' ;  'radio' ;  'table' ;  'mobile_phone'],NULL,3,['Jan' ;  'Feb'],['rely_less_food' ;  'limit_variety'],-19.04302413,33.40507276,657,6,uuid:adcd7463-8943-4c67-b25f-f72311409476
21-Nov-16,30,2017-04-05T06:05:58.000Z,2017-04-05T06:20:39.000Z,Manica,Manica,Bandula,Ruaca,22,yes,7,7,yes,22,no,no,no,no,grass,muddaub,NULL,earth,no,1,2,no,1,1,no,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,yes,['none'],NULL,1,no,no,['bicycle' ;  'radio' ;  'mobile_phone'],NULL,2,['Jan' ;  'Feb'],['rely_less_food' ;  'limit_variety' ;  'limit_portion' ;  'restrict_adults' ;  'lab_ex_food'],-19.04300478,33.40505449,669,5,uuid:59341ead-92be-45a9-8545-6edf9f94fdc6
21-Nov-16,31,2017-04-05T06:21:20.000Z,2017-04-05T06:38:26.000Z,Manica,Manica,Bandula,Ruaca,15,yes,3,3,no,2,yes,yes,yes,yes,grass,muddaub,NULL,earth,no,7,1,no,1,1,no,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,no,['none'],NULL,1,no,no,NULL,NULL,3,['none'],['na'],-19.04302176,33.40509382,704,4,uuid:cb06eb49-dd39-4150-8bbe-a599e074afe8
21-Nov-16,32,2017-04-05T06:38:55.000Z,2017-04-05T08:05:32.000Z,Manica,Manica,Bandula,Ruaca,53,yes,19,19,yes,69,yes,yes,yes,no,mabatipitched,muddaub,NULL,earth,no,8,2,yes,8,8,yes,NULL,8,yes,['Sept' ;  'Oct'],45,yes,no,NULL,yes,no,no,more_once,yes,['farming'],NULL,more_half,yes,yes,['oxen' ;  'cows' ;  'goats' ;  'pigs' ;  'poultry'],NULL,5,yes,no,['cow_cart' ;  'motorcyle' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'mobile_phone'],NULL,2,['none'],['na'],-19.04411399,33.40390565,703,8,uuid:25597af3-cd79-449c-a48a-fb9aea6c48bf
21-Nov-16,33,2017-04-05T08:08:19.000Z,2017-04-05T08:25:48.000Z,Manica,Manica,Bandula,Ruaca,20,yes,8,8,no,34,yes,yes,yes,yes,grass,muddaub,NULL,cement,no,2,1,no,2,2,yes,NULL,2,yes,['Aug' ;  'Sept' ;  'Oct'],20,yes,no,NULL,no,NULL,no,more_once,no,NULL,NULL,more_half,no,no,['oxen' ;  'poultry'],NULL,2,yes,no,['cow_cart' ;  'lorry' ;  'motorcyle' ;  'sterio' ;  'cow_plough' ;  'solar_panel' ;  'mobile_phone'],NULL,2,['none'],['na'],-19.04414887,33.40383602,695,5,uuid:0fbd2df1-2640-4550-9fbd-7317feaa4758
17-Nov-16,34,2017-04-05T16:00:47.000Z,2017-04-05T16:21:59.000Z,Manica,Manica,Bandula,Chirodzo,18,yes,8,8,no,18,no,no,no,no,mabatisloping,burntbricks,NULL,cement,yes,2,3,yes,2,2,yes,NULL,2,yes,['Oct' ;  'Nov'],2,yes,no,NULL,yes,no,no,more_once,no,NULL,NULL,more_half,no,no,['oxen' ;  'cows' ;  'goats'],NULL,3,yes,no,['television' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'solar_torch' ;  'table' ;  'mobile_phone'],NULL,2,['Jan' ;  'Dec'],['rely_less_food' ;  'limit_variety' ;  'limit_portion' ;  'restrict_adults' ;  'lab_ex_food'],-19.11219065,33.48341559,706,11,uuid:14c78c45-a7cc-4b2a-b765-17c82b43feb4
17-Nov-16,35,2017-04-05T16:22:13.000Z,2017-04-05T16:50:25.000Z,Manica,Manica,Bandula,Chirodzo,45,yes,5,5,no,45,no,no,no,no,grass,muddaub,NULL,earth,no,3,1,no,2,2,yes,NULL,2,yes,['Sept' ;  'Oct' ;  'Nov'],20,yes,no,NULL,yes,no,no,more_once,no,NULL,NULL,more_half,no,yes,['oxen' ;  'cows'],NULL,2,yes,no,['bicycle' ;  'cow_plough'],NULL,3,['Jan' ;  'Sept' ;  'Oct' ;  'Nov' ;  'Dec'],['rely_less_food' ;  'limit_variety' ;  'limit_portion' ;  'reduce_meals' ;  'restrict_adults' ;  'go_forest'],-19.11211362,33.48342515,733,11,uuid:ff7496e7-984a-47d3-a8a1-13618b5683ce
17-Nov-16,36,2017-04-05T16:50:48.000Z,2017-04-05T17:10:53.000Z,Manica,Manica,Bandula,Chirodzo,23,yes,6,6,no,23,no,no,no,no,mabatisloping,sunbricks,NULL,earth,no,1,1,no,3,3,yes,NULL,3,no,NULL,23,yes,no,NULL,yes,no,no,once,no,NULL,NULL,abt_half,yes,yes,['oxen' ;  'cows' ;  'pigs'],NULL,3,no,no,['cow_cart' ;  'bicycle' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'mobile_phone'],NULL,3,['none'],['na'],-19.11218058,33.4833843,710,10,uuid:c90eade0-1148-4a12-8c0e-6387a36f45b1
17-Nov-16,37,2017-04-05T17:17:48.000Z,2017-04-05T17:26:51.000Z,Manica,Manica,Bandula,Chirodzo,8,no,3,3,no,8,yes,yes,no,no,mabatisloping,burntbricks,NULL,earth,no,3,1,no,1,1,no,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,no,['oxen' ;  'cows'],NULL,2,yes,no,['bicycle' ;  'television' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'solar_torch' ;  'mobile_phone'],NULL,3,['Jan' ;  'Nov' ;  'Dec'],['rely_less_food' ;  'limit_variety' ;  'lab_ex_food'],-19.11217951,33.48339525,711,12,uuid:408c6c93-d723-45ef-8dee-1b1bd3fe20cd
17-Nov-16,38,2017-04-05T17:28:12.000Z,2017-04-05T17:50:57.000Z,Manica,Manica,Bandula,God,19,yes,10,10,yes,19,no,no,no,no,grass,muddaub,NULL,earth,no,3,1,no,2,2,yes,NULL,2,yes,['Sept' ;  'Oct'],9,yes,no,NULL,yes,no,no,never,no,NULL,NULL,more_half,no,yes,['oxen' ;  'cows' ;  'goats'],NULL,3,yes,yes,['bicycle' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'table' ;  'mobile_phone'],NULL,3,['Nov'],['limit_variety' ;  'lab_ex_food'],-19.11222939,33.48337467,696,9,uuid:81309594-ff58-4dc1-83a7-72af5952ee08
